DATE,INSTITUTION,TP,SECCHI,LAT,LONG,YEAR,SEASON,DISTANCE
5/16/2013,OEPA,0.01,,41.7267,-83.15,2013,Early,0.3483
5/16/2013,OEPA,0.01,,41.86035,-83.072948,2013,Early,0.4546
6/4/2013,OEPA,0.01,,41.7267,-83.15,2013,Early,0.3483
6/4/2013,OEPA,0.01,,41.86035,-83.072948,2013,Early,0.4546
6/4/2013,OEPA,0.01,,41.685,-82.9333,2013,Early,0.5638
6/24/2013,OEPA,0.01,,41.76832,-83.3008,2013,Early,0.209
6/26/2013,OEPA,0.01,,41.7267,-83.15,2013,Early,0.3483
6/26/2013,OEPA,0.01,,41.685,-82.9333,2013,Early,0.5638
7/10/2013,OEPA,0.01,,41.7267,-83.15,2013,Mid,0.3483
7/10/2013,OEPA,0.01,,41.86035,-83.072948,2013,Mid,0.4546
7/10/2013,OEPA,0.01,,41.685,-82.9333,2013,Mid,0.5638
7/23/2013,OEPA,0.01,,41.7267,-83.15,2013,Mid,0.3483
7/23/2013,OEPA,0.01,,41.86035,-83.072948,2013,Mid,0.4546
8/5/2013,OEPA,0.01,,41.76832,-83.3008,2013,Mid,0.209
8/6/2013,OEPA,0.01,,41.7267,-83.15,2013,Mid,0.3483
8/6/2013,OEPA,0.01,,41.86035,-83.072948,2013,Mid,0.4546
8/6/2013,OEPA,0.01,,41.685,-82.9333,2013,Mid,0.5638
8/6/2013,OEPA,0.01,,41.685,-82.9333,2013,Mid,0.5638
8/19/2013,OEPA,0.01,,41.76832,-83.3008,2013,Mid,0.209
8/20/2013,OEPA,0.01,,41.7267,-83.15,2013,Mid,0.3483
8/20/2013,OEPA,0.01,,41.86035,-83.072948,2013,Mid,0.4546
8/20/2013,OEPA,0.01,,41.685,-82.9333,2013,Mid,0.5638
9/11/2012,Toledo,5.1,4.25,41.821,-83.186,2012,Late,0.3351
9/26/2013,OEPA,5.8,,41.86035,-83.072948,2013,Late,0.4546
10/9/2013,OEPA,7.2,,41.86035,-83.072948,2013,Late,0.4546
5/15/2012,NOAA,8.25,2.4,41.827,-83.193,2012,Early,0.3305
7/15/2013,OSU,8.53,4,41.619,-82.933,2013,Mid,0.5695
10/9/2013,OEPA,9,,41.7267,-83.15,2013,Late,0.3483
5/1/2012,Toledo,9.2,2.6,41.821,-83.185,2012,Early,0.3356
6/11/2012,NOAA,9.35,2.4,41.827,-83.193,2012,Early,0.3309
10/9/2013,OEPA,9.6,,41.685,-82.9333,2013,Late,0.5638
10/3/2012,OEPA,10,,41.685,-82.9333,2012,Late,0.5638
7/12/2011,NOAA,10.45,4,41.691,-83.126,2011,Mid,0.3713
10/18/2010,NOAA,10.46,9.2,41.834,-83.191,2010,Late,0.3352
5/23/2012,OEPA,11,,41.7267,-83.15,2012,Early,0.3483
10/8/2013,OEPA,11,,41.76832,-83.3008,2013,Late,0.209
8/27/2012,Toledo,11.7,1.9,41.821,-83.185,2012,Mid,0.3356
6/24/2013,Toledo,11.7,2.8,41.75,-83.103,2013,Early,0.3974
10/18/2010,NOAA,11.78,8.4,41.804,-83.257,2010,Late,0.2633
6/3/2013,OEPA,12,,41.76832,-83.3008,2013,Early,0.209
7/9/2013,OEPA,12,,41.76832,-83.3008,2013,Mid,0.209
5/5/2011,ODNR,12.39999962,,41.839,-83.055,2011,Early,0.4645
8/13/2012,NOAA,12.44,3.6,41.825,-83.194,2012,Mid,0.3294
5/15/2012,Toledo,12.7,2.6,41.75,-83.104,2012,Early,0.3964
5/31/2012,NOAA,12.81,0.5,41.827,-83.193,2012,Early,0.3303
9/12/2012,NOAA,12.86,2.7,41.827,-83.194,2012,Late,0.3299
10/18/2010,NOAA,13,7.5,41.861,-83.264,2010,Late,0.2852
3/20/2012,OEPA,13,,41.685,-82.9333,2012,Early,0.5638
5/24/2012,OEPA,13,,41.685,-82.9333,2012,Early,0.5638
8/27/2012,Toledo,13.2,1.65,41.75,-83.104,2012,Mid,0.3969
7/12/2011,NOAA,13.25,3,41.636,-83.107,2011,Mid,0.3951
7/12/2011,NOAA,13.25,2.5,41.913,-83.108,2011,Mid,0.4453
7/12/2010,NOAA,13.32,3,41.834,-83.192,2010,Mid,0.3348
8/20/2012,NOAA,13.67,2.4,41.827,-83.194,2012,Mid,0.3295
4/25/2012,OEPA,14,,41.76832,-83.3008,2012,Early,0.209
5/23/2012,OEPA,14,,41.733,-83.416237,2012,Early,0.0887
7/23/2013,OEPA,14,,41.685,-82.9333,2013,Mid,0.5638
7/15/2013,OSU,14.1,1.98,41.705,-83.264,2013,Mid,0.233
8/23/2011,NOAA,14.45,1.9,41.904,-82.65,2011,Mid,0.8717
5/11/2012,ODNR,14.5,,41.839,-83.055,2012,Early,0.4645
7/6/2010,NOAA,14.83,3.4,41.834,-83.191,2010,Mid,0.3353
5/1/2012,Toledo,15,1.7,41.75,-83.104,2012,Early,0.3964
6/20/2012,OEPA,15,,41.685,-82.9333,2012,Early,0.5638
6/26/2013,OEPA,15,,41.86035,-83.072948,2013,Early,0.4546
6/22/2012,NOAA,15.19,1.8,41.707,-83.385,2012,Early,0.1129
8/2/2012,Toledo,15.3,2.2,41.821,-83.186,2012,Mid,0.3352
6/21/2010,NOAA,15.43,1.9,41.834,-83.192,2010,Early,0.3347
7/6/2010,NOAA,15.44,2.4,41.804,-83.256,2010,Mid,0.2643
7/12/2010,NOAA,15.49,3.5,41.86,-83.264,2010,Mid,0.2846
6/22/2012,NOAA,15.5,2.1,41.827,-83.193,2012,Early,0.3307
7/2/2012,Toledo,15.5,3.4,41.751,-83.104,2012,Mid,0.3972
7/12/2012,NOAA,15.5,2.2,41.827,-83.194,2012,Mid,0.3304
10/11/2011,Toledo,15.7,2.6,41.821,-83.186,2011,Late,0.3352
8/13/2012,ODNR,15.8,,41.839,-83.055,2012,Mid,0.4645
8/1/2011,NOAA,15.85,2.3,41.895,-83.15,2011,Mid,0.3998
9/10/2012,ODNR,15.9,,41.839,-83.055,2012,Late,0.4645
10/7/2010,NOAA,15.97,1.5,41.834,-83.192,2010,Late,0.3346
6/28/2011,NOAA,15.98,3.2,41.832,-83.191,2011,Early,0.335
7/22/2013,OSU,15.99,2.3,41.649,-83.099,2013,Mid,0.4012
5/23/2012,OEPA,16,,41.76832,-83.3008,2012,Early,0.209
4/8/2013,OEPA,16,,41.86035,-83.072948,2013,Early,0.4546
5/16/2013,OEPA,16,,41.685,-82.9333,2013,Early,0.5638
5/15/2012,NOAA,16.21,1.8,41.762,-83.33,2012,Early,0.1795
8/5/2013,OSU,16.27,3.76,41.622,-82.938,2013,Mid,0.5639
8/1/2011,NOAA,16.35,2,41.697,-83.155,2011,Mid,0.3422
7/12/2010,NOAA,16.37,2,41.805,-83.257,2010,Mid,0.2634
7/12/2011,NOAA,16.37,1.6,41.677,-83.22,2011,Mid,0.2779
9/17/2012,NOAA,16.42,2.2,41.826,-83.194,2012,Late,0.3301
4/13/2012,Toledo,16.5,1.6,41.75,-83.105,2012,Early,0.3959
7/2/2012,Toledo,16.5,4,41.821,-83.186,2012,Mid,0.3355
7/12/2011,NOAA,16.58,2.4,41.804,-83.254,2011,Mid,0.2655
5/15/2012,Toledo,16.6,1.2,41.789,-83.355,2012,Early,0.1692
6/28/2010,NOAA,16.69,6,41.804,-83.256,2010,Early,0.2638
5/15/2012,Toledo,16.7,3,41.821,-83.185,2012,Early,0.3356
6/8/2010,NOAA,16.73,2,41.834,-83.191,2010,Early,0.3351
8/13/2012,Toledo,16.8,2.7,41.821,-83.186,2012,Mid,0.3348
9/11/2012,Toledo,16.8,1.45,41.75,-83.104,2012,Late,0.3969
6/14/2010,NOAA,16.91,1.7,41.834,-83.191,2010,Early,0.3354
3/19/2012,OEPA,17,,41.7267,-83.15,2012,Early,0.3483
7/25/2012,Toledo,17,2.4,41.821,-83.186,2012,Mid,0.3352
8/14/2012,OEPA,17,,41.76832,-83.3008,2012,Mid,0.209
8/15/2012,OEPA,17,,41.685,-82.9333,2012,Mid,0.5638
6/21/2010,NOAA,17.02,1.9,41.805,-83.255,2010,Early,0.2648
6/8/2010,NOAA,17.05,1.5,41.804,-83.256,2010,Early,0.264
8/27/2010,Toledo,17.1,1.5,41.821,-83.185,2010,Mid,0.3357
10/25/2011,NOAA,17.1,1.9,41.693,-82.132,2011,Late,1.3652
7/6/2010,NOAA,17.26,3.1,41.835,-83.364,2010,Mid,0.192
6/27/2011,Toledo,17.4,2.51,41.821,-83.185,2011,Early,0.3356
6/28/2010,NOAA,17.69,6.6,41.834,-83.191,2010,Early,0.3355
4/13/2012,Toledo,17.9,2.1,41.821,-83.186,2012,Early,0.3349
9/27/2010,NOAA,17.91,1.8,41.86,-83.318,2010,Late,0.2425
4/25/2012,OEPA,18,,41.7267,-83.15,2012,Early,0.3483
7/25/2012,OEPA,18,,41.7267,-83.15,2012,Mid,0.3483
6/20/2012,ODNR,18.4,,41.839,-83.055,2012,Early,0.4645
8/30/2012,ODNR,18.4,,41.839,-83.055,2012,Mid,0.4645
9/27/2010,NOAA,18.65,1.2,41.804,-83.249,2010,Late,0.2708
7/26/2010,NOAA,18.66,2.1,41.859,-83.264,2010,Mid,0.2845
3/5/2012,NOAA,18.71,0.7,41.848,-83.221,2012,Early,0.3151
9/27/2010,NOAA,18.76,1.1,41.833,-83.204,2010,Late,0.3236
7/8/2010,Toledo,18.8,3.1,41.82,-83.185,2010,Mid,0.3359
4/26/2012,OEPA,19,,41.685,-82.9333,2012,Early,0.5638
7/22/2013,OEPA,19,,41.76832,-83.3008,2013,Mid,0.209
7/19/2010,NOAA,19.29,3.2,41.835,-83.362,2010,Mid,0.1929
10/18/2010,NOAA,19.29,5,41.885,-83.319,2010,Late,0.2598
8/1/2011,NOAA,19.43,1.7,41.747,-83.208,2011,Mid,0.2938
6/8/2010,NOAA,19.56,1.5,41.859,-83.264,2010,Early,0.2845
9/29/2010,Toledo,19.6,1.6,41.751,-83.104,2010,Late,0.3965
7/19/2010,NOAA,19.77,1.8,41.764,-83.402,2010,Mid,0.1161
7/29/2013,OSU,19.8,2.74,41.649,-83.098,2013,Mid,0.4014
7/12/2010,NOAA,19.85,1.5,41.754,-83.318,2010,Mid,0.1876
4/13/2012,Toledo,19.9,1.3,41.733,-83.297,2012,Early,0.2032
8/16/2010,NOAA,19.94,1.4,41.834,-83.19,2010,Mid,0.3366
7/24/2012,OEPA,20,,41.685,-82.9333,2012,Mid,0.5638
6/24/2013,Toledo,20.2,3.8,41.733,-83.295,2013,Early,0.2053
7/19/2010,NOAA,20.25,2.1,41.859,-83.264,2010,Mid,0.2845
10/25/2011,NOAA,20.27,1.2,41.81,-82.395,2011,Late,1.1082
8/1/2011,NOAA,20.33,1.5,41.743,-83.15,2011,Mid,0.3502
6/3/2010,ODNR,20.60000038,,41.839,-83.055,2010,Early,0.4645
5/31/2011,Toledo,20.7,2.1,41.75,-83.104,2011,Early,0.397
10/25/2011,NOAA,20.89,1.9,41.593,-82.212,2011,Late,1.2894
7/31/2012,NOAA,20.94,1.5,41.631,-83.152,2012,Mid,0.351
6/24/2013,Toledo,21,3.1,41.821,-83.185,2013,Early,0.3357
6/21/2010,NOAA,21.05,2.3,41.861,-83.268,2010,Early,0.2817
6/4/2010,Toledo,21.1,2,41.822,-83.186,2010,Early,0.3352
9/14/2011,Toledo,21.1,1.75,41.821,-83.185,2011,Late,0.3356
7/30/2013,Toledo,21.2,4.2,41.789,-83.355,2013,Mid,0.1699
6/15/2012,Toledo,21.3,2.98,41.821,-83.186,2012,Early,0.3355
8/23/2011,NOAA,21.33,1.6,41.814,-82.876,2011,Mid,0.6322
7/26/2010,NOAA,21.48,2.6,41.804,-83.256,2010,Mid,0.2638
10/25/2011,NOAA,21.5,2.3,41.675,-82.727,2011,Late,0.7699
6/7/2012,ODNR,21.5,,41.839,-83.055,2012,Early,0.4645
9/26/2013,OEPA,21.5,,41.685,-82.9333,2013,Late,0.5638
8/10/2010,Toledo,21.7,2,41.75,-83.104,2010,Mid,0.3969
7/2/2012,Toledo,21.7,2.7,41.789,-83.356,2012,Mid,0.1688
6/14/2010,NOAA,21.75,1.4,41.886,-83.319,2010,Early,0.2598
9/5/2012,NOAA,21.75,2,41.826,-83.194,2012,Late,0.3302
10/8/2013,Toledo,21.8,2.4,41.751,-83.103,2013,Late,0.3973
7/15/2013,OSU,21.84,2,41.56,-82.913,2013,Mid,0.6001
9/5/2013,OEPA,21.9,,41.7267,-83.15,2013,Late,0.3483
5/14/2013,OEPA,22,,41.70163,-83.37407,2013,Early,0.123
10/7/2010,NOAA,22.06,1.7,41.805,-83.255,2010,Late,0.2653
7/12/2011,NOAA,22.09,2,41.754,-83.319,2011,Mid,0.1873
8/29/2013,Toledo,22.1,2.5,41.75,-83.104,2013,Mid,0.3965
7/12/2011,NOAA,22.2,3.7,41.834,-83.191,2011,Mid,0.3356
8/2/2010,NOAA,22.26,1.9,41.805,-83.256,2010,Mid,0.2644
8/23/2011,NOAA,22.36,1.6,41.886,-82.874,2011,Mid,0.6515
8/1/2011,NOAA,22.51,1.5,41.921,-83.205,2011,Mid,0.3678
5/15/2012,NOAA,22.52,2.1,41.705,-83.385,2012,Early,0.1121
10/7/2010,NOAA,22.53,4.3,41.834,-83.364,2010,Late,0.191
8/29/2013,Toledo,22.8,2.2,41.733,-83.297,2013,Mid,0.2033
7/31/2012,NOAA,22.82,2.1,41.826,-83.193,2012,Mid,0.3306
9/25/2013,OEPA,22.9,,41.76832,-83.3008,2013,Late,0.209
8/5/2011,Toledo,23,2.9,41.821,-83.186,2011,Mid,0.3348
7/16/2012,Toledo,23,1.8,41.789,-83.356,2012,Mid,0.1688
4/4/2013,OEPA,23,,41.76832,-83.3008,2013,Early,0.209
9/19/2013,Toledo,23,1.6,41.821,-83.186,2013,Late,0.3347
9/12/2011,NOAA,23.01,2,41.806,-83.169,2011,Late,0.3455
8/27/2012,Toledo,23.1,1.4,41.734,-83.297,2012,Mid,0.2034
6/22/2012,NOAA,23.11,1,41.763,-83.33,2012,Early,0.1798
5/15/2012,NOAA,23.16,1.2,41.834,-83.364,2012,Early,0.1913
9/10/2010,NOAA,23.21,1.1,41.834,-83.192,2010,Late,0.3347
7/19/2010,NOAA,23.32,1.6,41.804,-83.319,2010,Mid,0.208
9/15/2010,Toledo,23.4,1.7,41.75,-83.104,2010,Late,0.3968
9/5/2012,NOAA,23.41,1.9,41.561,-82.907,2012,Late,0.6052
7/22/2013,OSU,23.42,1.98,41.569,-82.768,2013,Mid,0.74
7/6/2010,NOAA,23.48,2.5,41.859,-83.264,2010,Mid,0.2846
7/22/2011,Toledo,23.5,2.3,41.75,-83.104,2011,Mid,0.3966
10/25/2011,NOAA,23.55,1.2,41.742,-82.639,2011,Late,0.8593
6/25/2010,Toledo,23.6,1.5,41.821,-83.186,2010,Early,0.3349
7/16/2012,Toledo,23.6,1.2,41.734,-83.297,2012,Mid,0.2036
7/29/2013,OSU,23.61,1.76,41.562,-82.892,2013,Mid,0.6192
7/26/2010,NOAA,23.67,1.3,41.804,-83.256,2010,Mid,0.2638
7/6/2010,NOAA,23.78,1.9,41.765,-83.401,2010,Mid,0.1177
10/18/2010,NOAA,23.85,4.7,41.834,-83.364,2010,Late,0.1917
8/29/2012,NOAA,23.9,2.7,41.829,-83.198,2012,Mid,0.3273
6/11/2013,Toledo,23.9,1.6,41.734,-83.297,2013,Early,0.2032
10/1/2012,OEPA,24,,41.7267,-83.15,2012,Late,0.3483
4/29/2013,OEPA,24,,41.86035,-83.072948,2013,Early,0.4546
9/28/2012,Toledo,24.1,1.4,41.75,-83.104,2012,Late,0.3969
7/8/2010,Toledo,24.3,2.81,41.789,-83.356,2010,Mid,0.1684
10/18/2010,NOAA,24.36,6.1,41.753,-83.386,2010,Late,0.1246
9/14/2010,Toledo,24.4,1.95,41.75,-83.104,2010,Late,0.3968
8/23/2011,NOAA,24.41,1.2,41.757,-83.053,2011,Mid,0.4477
8/27/2010,Toledo,24.5,1.2,41.75,-83.103,2010,Mid,0.3976
7/11/2011,Toledo,24.5,3.07,41.75,-83.104,2011,Mid,0.3964
8/27/2012,Toledo,24.5,1.15,41.789,-83.356,2012,Mid,0.1685
7/12/2010,NOAA,24.64,2.5,41.835,-83.362,2010,Mid,0.1936
6/25/2010,Toledo,24.8,2.5,41.789,-83.357,2010,Early,0.1681
8/12/2013,OSU,24.94,1.68,41.649,-83.098,2013,Mid,0.4018
10/12/2010,ODNR,25.10000038,,41.839,-83.055,2010,Late,0.4645
8/30/2010,NOAA,25.15,1.8,41.833,-83.191,2010,Mid,0.3351
10/7/2010,NOAA,25.16,1.8,41.858,-83.251,2010,Late,0.2949
8/10/2010,Toledo,25.2,1.4,41.821,-83.185,2010,Mid,0.3355
7/6/2010,NOAA,25.3,1.5,41.841,-83.372,2010,Mid,0.1911
8/1/2011,NOAA,25.3,1,41.841,-83.359,2011,Mid,0.1996
7/3/2012,ODNR,25.4,,41.702,-83.248,2012,Mid,0.2492
8/5/2013,OSU,25.47,1.41,41.569,-82.768,2013,Mid,0.7399
9/20/2010,Toledo,25.7,1.3,41.75,-83.104,2010,Late,0.3967
5/15/2012,Toledo,25.7,1.6,41.733,-83.297,2012,Early,0.2032
5/24/2012,ODNR,26,,41.839,-83.055,2012,Early,0.4645
6/4/2012,Toledo,26,1.4,41.821,-83.186,2012,Early,0.3355
6/20/2012,Toledo,26,3.8,41.821,-83.186,2012,Early,0.3355
9/28/2012,Toledo,26,1.7,41.821,-83.186,2012,Late,0.3351
10/1/2012,OEPA,26,,41.76832,-83.3008,2012,Late,0.209
4/29/2013,OEPA,26,,41.685,-82.9333,2013,Early,0.5638
5/14/2013,OEPA,26,,41.76832,-83.3008,2013,Early,0.209
8/9/2010,NOAA,26.08,1.4,41.754,-83.317,2010,Mid,0.1896
6/21/2010,NOAA,26.23,2.4,41.885,-83.319,2010,Early,0.2593
7/12/2010,NOAA,26.23,2,41.886,-83.318,2010,Mid,0.2607
6/15/2012,Toledo,26.3,1.65,41.751,-83.104,2012,Early,0.3972
7/30/2013,Toledo,26.3,2.1,41.821,-83.186,2013,Mid,0.3354
8/2/2010,NOAA,26.33,2,41.834,-83.191,2010,Mid,0.3357
10/18/2010,NOAA,26.39,4.1,41.764,-83.403,2010,Late,0.1161
8/6/2012,NOAA,26.4,1.7,41.827,-83.194,2012,Mid,0.3295
6/22/2012,NOAA,26.61,3,41.838,-83.365,2012,Early,0.1937
5/11/2012,ODNR,26.7,,41.702,-83.248,2012,Early,0.2492
9/10/2010,NOAA,26.88,1.3,41.81,-83.256,2010,Late,0.2668
7/15/2013,OSU,26.89,2.37,41.648,-83.099,2013,Mid,0.401
8/14/2012,OEPA,27,,41.733,-83.416237,2012,Mid,0.0887
8/19/2013,OEPA,27,,41.70163,-83.37407,2013,Mid,0.123
7/11/2011,Toledo,27.2,1.35,41.734,-83.297,2011,Mid,0.2038
7/19/2010,NOAA,27.26,1.8,41.885,-83.318,2010,Mid,0.2599
10/11/2011,Toledo,27.5,2.1,41.75,-83.104,2011,Late,0.3964
8/16/2013,Toledo,27.5,1.9,41.733,-83.297,2013,Mid,0.2034
8/20/2012,NOAA,27.51,1.2,41.762,-83.33,2012,Mid,0.1793
8/19/2013,OSU,27.57,1.83,41.648,-83.098,2013,Mid,0.4019
7/6/2010,NOAA,27.58,2.5,41.886,-83.318,2010,Mid,0.2605
8/5/2013,OSU,27.6,0.3,41.648,-83.099,2013,Mid,0.401
7/22/2010,Toledo,27.8,1.9,41.75,-83.104,2010,Mid,0.3967
7/19/2010,NOAA,27.83,1.4,41.804,-83.256,2010,Mid,0.2643
8/1/2011,NOAA,27.88,1.75,41.947,-83.151,2011,Mid,0.4273
10/7/2010,NOAA,27.9,1.5,41.885,-83.319,2010,Late,0.2595
9/27/2011,Toledo,27.9,1.45,41.75,-83.104,2011,Late,0.397
4/8/2013,OEPA,28,,41.7267,-83.15,2013,Early,0.3483
9/4/2013,OEPA,28,,41.76832,-83.3008,2013,Late,0.209
10/8/2013,Toledo,28,2.1,41.821,-83.186,2013,Late,0.335
7/26/2010,NOAA,28.05,1.6,41.885,-83.318,2010,Mid,0.26
8/6/2012,NOAA,28.2,1.1,41.763,-83.33,2012,Mid,0.18
8/11/2010,ODNR,28.20000076,,41.839,-83.055,2010,Mid,0.4645
6/27/2011,Toledo,28.7,1.92,41.752,-83.103,2011,Early,0.3979
5/30/2013,Toledo,28.8,2,41.716,-83.456,2013,Early,0.0455
5/1/2012,Toledo,28.9,1.3,41.733,-83.298,2012,Early,0.2028
6/24/2013,Toledo,28.9,1.3,41.716,-83.455,2013,Early,0.0461
7/15/2010,Toledo,29,2.5,41.751,-83.103,2010,Mid,0.3973
9/27/2011,Toledo,29,2.2,41.821,-83.185,2011,Late,0.3356
8/14/2012,OEPA,29,,41.7267,-83.15,2012,Mid,0.3483
8/5/2013,OEPA,29,,41.733,-83.416237,2013,Mid,0.0887
10/8/2013,OEPA,29,,41.70163,-83.37407,2013,Late,0.123
7/22/2010,Toledo,29.2,0.8,41.733,-83.297,2010,Mid,0.203
7/16/2012,Toledo,29.3,2.5,41.751,-83.104,2012,Mid,0.3972
7/15/2013,Toledo,29.3,2.2,41.733,-83.297,2013,Mid,0.2033
8/27/2012,Toledo,29.4,1.3,41.743,-83.401,2012,Mid,0.1061
7/12/2012,NOAA,29.41,1.3,41.833,-83.364,2012,Mid,0.1909
8/12/2013,OSU,29.49,0.67,41.69,-83.265,2013,Mid,0.2318
7/16/2012,Toledo,29.8,1.2,41.742,-83.401,2012,Mid,0.1066
9/25/2013,OEPA,29.8,,41.733,-83.416237,2013,Late,0.0887
9/2/2013,OSU,29.82,1.52,41.648,-83.098,2013,Late,0.4017
8/16/2013,Toledo,29.9,1.5,41.751,-83.104,2013,Mid,0.3968
8/19/2011,Toledo,30,2.75,41.821,-83.186,2011,Mid,0.3348
4/25/2012,OEPA,30,,41.733,-83.416237,2012,Early,0.0887
6/19/2012,OEPA,30,,41.7267,-83.15,2012,Early,0.3483
3/5/2012,NOAA,30.02,0.4,41.844,-83.266,2012,Early,0.2741
7/12/2011,NOAA,30.1,2.5,41.949,-83.158,2011,Mid,0.4228
8/9/2010,NOAA,30.17,1.5,41.86,-83.267,2010,Mid,0.2818
8/13/2012,Toledo,30.4,1.8,41.789,-83.356,2012,Mid,0.1685
9/26/2013,OEPA,30.4,,41.7267,-83.15,2013,Late,0.3483
7/31/2012,NOAA,30.41,1.3,41.739,-83.114,2012,Mid,0.385
7/19/2010,NOAA,30.42,2.1,41.833,-83.192,2010,Mid,0.334
8/9/2010,NOAA,30.51,1.1,41.806,-83.254,2010,Mid,0.2662
6/20/2012,Toledo,30.7,2.6,41.751,-83.104,2012,Early,0.3972
7/11/2011,ODNR,30.89999962,,41.702,-83.248,2011,Mid,0.2492
6/19/2012,OEPA,31,,41.76832,-83.3008,2012,Early,0.209
7/16/2012,Toledo,31,2.7,41.821,-83.186,2012,Mid,0.3355
7/25/2012,OEPA,31,,41.76832,-83.3008,2012,Mid,0.209
4/15/2013,OEPA,31,,41.685,-82.9333,2013,Early,0.5638
8/10/2010,Toledo,31.1,1.4,41.734,-83.298,2010,Mid,0.2029
5/24/2012,ODNR,31.3,,41.702,-83.248,2012,Early,0.2492
8/2/2010,NOAA,31.34,0.6,41.706,-83.387,2010,Mid,0.1109
7/8/2010,Toledo,31.4,3.7,41.751,-83.103,2010,Mid,0.3973
8/10/2010,Toledo,31.4,1.5,41.79,-83.357,2010,Mid,0.1686
6/28/2010,NOAA,31.45,6.4,41.86,-83.264,2010,Early,0.2843
8/23/2011,NOAA,31.45,1.5,41.86,-83.217,2011,Mid,0.3242
6/11/2012,NOAA,31.57,1,41.763,-83.329,2012,Early,0.1805
7/12/2010,NOAA,31.6,1.5,41.764,-83.403,2010,Mid,0.116
