"","STATION","DATE","TIME","R","NH4","R.1","NO2","R.2","TKN","R.3","N2.3","R.4","TOTP","R.5","SRP","AGY","R.6","BOD","AGY.1","R.7","ECOL","R.8","FECAL","AGY.2","R.9","wtemp","R.10","bpres","R.11","flow","R.12","cond","R.13","DO","R.14","DOPCT","R.15","pH","R.16","SSC","R.17","SSF","R.21","P04035","R.23","P04040","R.41","P39415","R.44","P39572","R.45","P39632","R.62","P49300","R.88","P82670","R.94","P82676","MapNumber","Longitude","Latitude","Class","Size","LU.Ag","LU.For","LU.Resid","LU.Other","Month","NumCrops"
"47",4.45e+14,19960418,1110,NA,NA,NA,NA,NA,NA,NA,0.97,NA,0.04,NA,NA,"USGS",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.71,NA,757,NA,4.38,NA,43,NA,9.91,NA,87.73,NA,6.85,NA,NA,NA,NA,NA,0.033,"E",0.02,"<",0.002,"<",0.002,NA,0.066,"<",0.02,"<",0.01,"<",0.003,"61",-122.849444444444,44.8627777777778,"AGRICULTURAL",1856,72,6,8,14,"Apr",13
"48",4.45e+14,19960513,1410,NA,0.04,NA,NA,NA,NA,NA,0.96,NA,0.03,NA,0.006,"ODEQ",NA,0.7,"ODEQ",NA,190,NA,325,"OHD",NA,14.9,NA,753,NA,4.83,NA,43,NA,9.71,NA,97.225,NA,6.57,NA,4,NA,92,NA,0.03,"E",0.013,"E",0.002,"<",0.002,NA,0.073,"E",0.02,"<",0.01,"<",0.003,"61",-122.849444444444,44.8627777777778,"AGRICULTURAL",1856,72,6,8,14,"May",13
"49",4.45e+14,19960724,1400,"E",0.031,"<",0.005,NA,0.286,NA,0.733,NA,0.06,"E",0.013,"USA","<",2,"POR",NA,480,NA,500,"EUG",NA,20.92,NA,752,NA,0.42,NA,45,NA,7.29,NA,82.786,NA,6.57,NA,20,NA,88,NA,0.02,"E",0.011,"<",0.002,"<",0.002,NA,0.034,"E",0.03,"<",0.01,"<",0.003,"61",-122.849444444444,44.8627777777778,"AGRICULTURAL",1856,72,6,8,14,"Jul",13
"50",4.45e+14,19961024,1040,"E",0.026,NA,NA,NA,0.316,NA,1.33,NA,0.066,"<",0.01,"USA","<",2,"POR",NA,470,NA,400,"EUG",NA,11.64,NA,743,NA,3.37,NA,48.9,NA,8.85,NA,83.521,NA,7.02,NA,23,NA,82,NA,0.0146,"E",0.0113,NA,0.0096,"<",0.002,NA,0.0475,"<",0.02,"<",0.01,"<",0.003,"61",-122.849444444444,44.8627777777778,"AGRICULTURAL",1856,72,6,8,14,"Oct",13
"51",4.45e+14,19961117,1440,NA,0.06,NA,NA,NA,0.5,NA,1.8,NA,0.02,"E",0.006,"ODEQ","<",2,"POR",NA,130,NA,90,"EUG",NA,10.31,NA,746,NA,11.7,NA,42,NA,9.55,NA,87.029,NA,6.23,NA,38,NA,84,NA,0.0186,"E",0.0106,NA,0.0043,"<",0.002,NA,0.0254,"<",0.04,NA,0.0128,"<",0.003,"61",-122.849444444444,44.8627777777778,"AGRICULTURAL",1856,72,6,8,14,"Nov",13
"52",4.5e+14,19960419,1130,NA,NA,NA,NA,NA,NA,NA,1.3,NA,0.11,NA,NA,"USGS",NA,NA,NA,NA,NA,NA,NA,NA,NA,11.04,NA,763,NA,9.23,NA,189,NA,7.4,NA,67.081,NA,6.62,NA,NA,NA,NA,NA,0.019,"E",0.012,NA,0.004,NA,0.022,NA,0.033,NA,0.61,NA,0.12,"<",0.003,"U4",-123.024444444444,45.0044444444444,"URBAN",5451,0,0,100,0,"Apr",NA
"53",4.5e+14,19960513,1830,NA,0.05,NA,NA,NA,NA,NA,0.88,NA,0.13,NA,0.069,"ODEQ",NA,1.5,"ODEQ",NA,1440,NA,1580,"OHD",NA,15.5,NA,NA,NA,12.3,NA,158,NA,6,NA,NA,NA,6.5,NA,9,NA,93,NA,0.22,"E",0.011,NA,0.012,NA,0.042,NA,0.033,NA,0.75,NA,0.18,"<",0.003,"U4",-123.024444444444,45.0044444444444,"URBAN",5451,0,0,100,0,"May",NA
"54",4.5e+14,19960723,1030,"E",0.033,NA,0.011,NA,0.267,NA,1.67,NA,0.167,NA,0.083,"USA","<",2,"POR",NA,1040,NA,1200,"EUG",NA,17.34,NA,761,NA,2.89,NA,261,NA,6.81,NA,71.104,NA,6.76,NA,4,NA,96,NA,0.01,"E",0.014,"E",0.004,"<",0.002,NA,0.011,NA,0.08,NA,0.015,"<",0.003,"U4",-123.024444444444,45.0044444444444,"URBAN",5451,0,0,100,0,"Jul",NA
"55",4.5e+14,19961014,1910,"E",0.024,"E",0.007,NA,0.487,NA,0.714,NA,0.189,NA,0.108,"USA","<",2,"POR",NA,800,NA,1000,"EUG",NA,13.15,NA,763,NA,12.8,NA,131,"E",5.6,NA,53.249,NA,6.76,NA,17,NA,93,NA,0.0269,"E",0.0079,NA,0.0663,NA,0.0247,NA,0.0143,NA,0.22,NA,0.0643,"<",0.003,"U4",-123.024444444444,45.0044444444444,"URBAN",5451,0,0,100,0,"Oct",NA
"56",4.5e+14,19961114,1030,"<",0.01,"<",0.01,"E",0.443,NA,0.33,"E",0.21,"<",0.01,"USA","<",2,"POR",NA,NA,NA,NA,NA,NA,11.32,NA,769,NA,11.7,NA,94,NA,5,NA,45.243,NA,6.48,NA,37,NA,95,NA,0.0799,"E",0.0045,NA,0.0173,NA,0.0401,NA,0.123,NA,0.1,NA,0.103,"<",0.003,"U4",-123.024444444444,45.0044444444444,"URBAN",5451,0,0,100,0,"Nov",NA
"57",4.5e+14,19960419,1700,NA,NA,NA,NA,NA,NA,NA,1.4,NA,0.06,NA,NA,"USGS",NA,NA,NA,NA,NA,NA,NA,NA,NA,10.53,NA,762,NA,53.8,NA,125,NA,10.96,NA,98.289,NA,6.7,NA,NA,NA,NA,NA,0.007,"E",0.031,NA,0.024,"<",0.002,NA,0.3,NA,0.25,NA,0.037,NA,0.015,"48",-123.320277777778,45.0719444444444,"AGRICULTURAL",6310,69,21,2,8,"Apr",25
"58",4.5e+14,19960514,1040,"<",0.02,NA,NA,NA,NA,NA,0.82,NA,0.05,NA,0.007,"ODEQ",NA,1.2,"ODEQ","E",225,"E",355,"OHD",NA,14.07,NA,756,NA,9.38,NA,119.6,NA,8.95,NA,87.672,NA,7.3,NA,14,NA,89,"<",0.005,"E",0.017,NA,0.005,"<",0.002,NA,0.096,NA,0.11,NA,0.015,NA,0.007,"48",-123.320277777778,45.0719444444444,"AGRICULTURAL",6310,69,21,2,8,"May",25
"59",4.5e+14,19961114,1100,"<",0.01,"<",0.01,"E",0.525,NA,2.24,"E",0.075,"<",0.01,"USA","<",2,"POR",NA,NA,NA,NA,NA,NA,NA,NA,762,NA,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,87,"<",0.005,"E",0.0231,NA,1.03,"<",0.002,NA,0.117,NA,0.28,"E",0.006,NA,0.137,"48",-123.320277777778,45.0719444444444,"AGRICULTURAL",6310,69,21,2,8,"Nov",25
"60",4.5e+14,19961118,1320,NA,0.04,NA,NA,NA,0.8,NA,6.1,NA,0.05,NA,0.019,"ODEQ",NA,NA,"POR",NA,120,NA,120,"EUG",NA,8.66,NA,750,NA,8.23,NA,189,NA,9.96,NA,86.842,NA,6.64,NA,13,NA,98,"<",0.005,"E",0.0282,NA,0.516,"<",0.002,NA,0.19,NA,0.24,"E",0.0042,NA,0.0331,"48",-123.320277777778,45.0719444444444,"AGRICULTURAL",6310,69,21,2,8,"Nov",25
"61",4.51e+14,19960419,1400,NA,NA,NA,NA,NA,NA,NA,1.2,NA,0.12,NA,NA,"USGS",NA,NA,NA,NA,NA,NA,NA,NA,NA,10.75,NA,762,NA,25.9,NA,109.3,NA,11.08,NA,99.871,NA,6.95,NA,NA,NA,NA,NA,0.006,"E",0.015,NA,0.004,"<",0.002,NA,0.05,NA,0.11,"<",0.01,"<",0.003,"43",-123.187777777778,45.105,"AGRICULTURAL",2903,31,51,6,11,"Apr",17
"62",4.51e+14,19960514,1530,NA,0.04,NA,NA,NA,NA,NA,0.9,NA,0.13,NA,0.021,"ODEQ",NA,0.9,"ODEQ",">",1600,">",1600,"OHD",NA,15.17,NA,756,NA,3.28,NA,119.2,NA,10,NA,100.34,NA,7.07,NA,25,NA,96,NA,0.007,"E",0.012,"E",0.002,"<",0.002,NA,0.035,"<",0.02,"<",0.01,"<",0.003,"43",-123.187777777778,45.105,"AGRICULTURAL",2903,31,51,6,11,"May",17
"63",4.51e+14,19960724,1040,NA,0.069,"<",0.005,NA,0.495,NA,0.25,NA,0.133,NA,0.052,"USA","<",2,"POR",NA,140,NA,240,"EUG",NA,22.5,NA,761,NA,0.24,NA,156,NA,6.35,NA,73.488,NA,7.22,NA,NA,NA,NA,NA,0.006,"E",0.005,"E",0.004,"<",0.002,NA,0.015,"E",0.15,"<",0.01,"<",0.003,"43",-123.187777777778,45.105,"AGRICULTURAL",2903,31,51,6,11,"Jul",17
"64",4.51e+14,19961019,1400,"E",0.036,"<",0.005,NA,0.553,NA,0.164,NA,0.168,NA,0.037,"USA","<",2,"POR",NA,NA,NA,NA,NA,NA,9.43,NA,762,NA,0.6,NA,176.8,NA,10.11,NA,88.359,NA,7.26,NA,16,NA,98,"<",0.005,"E",0.0025,NA,0.0139,"<",0.002,NA,0.0156,"<",0.02,"<",0.01,"<",0.003,"43",-123.187777777778,45.105,"AGRICULTURAL",2903,31,51,6,11,"Oct",17
"65",4.51e+14,19961117,1430,NA,0.12,NA,NA,NA,1.1,NA,6.6,NA,0.14,"E",0.034,"ODEQ","<",2,"POR",NA,2100,NA,5800,"EUG",NA,9.69,NA,NA,NA,4.58,NA,176,NA,8.46,NA,NA,NA,6.67,NA,35,NA,90,"<",0.005,"E",0.0087,NA,0.0054,"<",0.002,NA,0.13,"E",2.4,"<",0.01,"<",0.003,"43",-123.187777777778,45.105,"AGRICULTURAL",2903,31,51,6,11,"Nov",17
"66",4.51e+14,19960419,1050,NA,NA,NA,NA,NA,NA,NA,5.6,NA,0.73,NA,NA,"USGS",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,NA,762,NA,NA,NA,354,NA,4.95,NA,NA,NA,6.97,NA,NA,NA,NA,NA,0.047,"E",0.024,NA,0.015,"<",0.002,NA,0.21,"E",0.08,"<",0.01,"<",0.003,"39",-122.946666666667,45.1630555555556,"AGRICULTURAL",3699,80,8,7,5,"Apr",20
"67",4.51e+14,19960513,1730,NA,0.5,NA,NA,NA,NA,NA,3.5,NA,0.76,NA,0.389,"ODEQ",">",4,"ODEQ",">",1600,">",1600,"OHD",NA,15.47,NA,758,NA,2.73,NA,336,NA,5.55,NA,55.881,NA,7,NA,57,NA,97,NA,0.18,"E",0.022,NA,0.014,"<",0.002,NA,0.066,"E",5.1,"<",0.01,"E",0.002,"39",-122.946666666667,45.1630555555556,"AGRICULTURAL",3699,80,8,7,5,"May",20
"68",4.51e+14,19960723,1350,"E",0.047,"<",0.005,NA,1.25,NA,9.21,NA,0.51,NA,0.399,"USA",NA,2.5,"POR",NA,1100,NA,1200,"EUG",NA,22.7,NA,762,NA,0.51,NA,362,NA,4.38,NA,50.85,NA,7.19,NA,11,NA,84,NA,0.032,"E",0.006,NA,0.007,NA,0.023,NA,0.057,"E",0.34,"<",0.01,"<",0.003,"39",-122.946666666667,45.1630555555556,"AGRICULTURAL",3699,80,8,7,5,"Jul",20
"69",4.51e+14,19961024,1230,NA,2.19,NA,NA,NA,5.24,"E",0.011,NA,1.57,NA,1.18,"USA",NA,20,"POR",">",8000,NA,11200,"EUG",NA,11.88,NA,NA,NA,3.7,NA,376,NA,0.65,NA,NA,NA,6.93,NA,48,NA,96,NA,0.449,"E",0.0087,NA,0.123,NA,0.0408,NA,0.267,"E",4.1,"<",0.01,"<",0.003,"39",-122.946666666667,45.1630555555556,"AGRICULTURAL",3699,80,8,7,5,"Oct",20
"70",4.51e+14,19961119,1200,NA,0.23,NA,NA,NA,2.2,NA,10,NA,1.09,NA,0.638,"ODEQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.65,NA,741,NA,187,NA,174,NA,10.4,NA,85.178,NA,6.69,NA,NA,NA,NA,NA,0.134,"E",0.0062,NA,0.06,"<",0.002,NA,0.0249,"E",4.2,"<",0.01,"<",0.003,"39",-122.946666666667,45.1630555555556,"AGRICULTURAL",3699,80,8,7,5,"Nov",20
"71",4.51e+14,19960419,1630,NA,NA,NA,NA,NA,NA,NA,1.8,NA,0.18,NA,NA,"USGS",NA,NA,NA,NA,NA,NA,NA,NA,NA,11.64,NA,764,NA,NA,NA,280,NA,10.09,NA,92.646,NA,7.34,NA,NA,NA,NA,NA,0.52,"E",0.046,"<",0.021,NA,0.017,NA,0.32,NA,0.73,"<",0.021,NA,0.024,"37",-122.829166666667,45.2063888888889,"AGRICULTURAL",5558,60,5,21,15,"Apr",28
"72",4.51e+14,19960514,1410,NA,0.05,NA,NA,NA,NA,NA,1.1,NA,0.3,NA,0.055,"ODEQ",NA,2.2,"ODEQ",">",1600,">",1600,"OHD",NA,15.92,NA,NA,NA,9.49,NA,302,NA,7.77,NA,78.3,NA,7.37,NA,7,NA,95,NA,0.14,"E",0.033,NA,0.014,"<",0.002,NA,0.14,"E",1.1,NA,0.11,NA,0.017,"37",-122.829166666667,45.2063888888889,"AGRICULTURAL",5558,60,5,21,15,"May",28
"73",4.51e+14,19960722,1150,"E",0.042,"<",0.005,NA,0.683,NA,0.166,NA,0.193,NA,0.073,"USA","<",2,"POR",NA,270,NA,285,"EUG",NA,18.96,NA,762,NA,0.41,NA,767,NA,4.73,NA,51.078,NA,6.95,NA,5,NA,76,NA,0.47,"E",0.011,NA,0.005,"<",0.002,NA,0.054,"E",0.33,"<",0.01,NA,0.011,"37",-122.829166666667,45.2063888888889,"AGRICULTURAL",5558,60,5,21,15,"Jul",28
"74",4.51e+14,19961019,1620,"E",0.03,"<",0.005,NA,1.78,"<",0.01,NA,0.496,NA,0.067,"USA",NA,22,"POR",NA,NA,NA,NA,NA,NA,9.75,NA,762,NA,3.19,NA,727,NA,0.79,NA,6.971,NA,7.24,NA,NA,NA,NA,NA,0.069,"E",0.0055,NA,0.045,"<",0.002,NA,0.0174,"E",3.6,"<",0.01,"<",0.003,"37",-122.829166666667,45.2063888888889,"AGRICULTURAL",5558,60,5,21,15,"Oct",28
"75",4.51e+14,19961117,1230,NA,0.32,NA,NA,NA,1.5,NA,2,NA,0.41,"E",0.195,"ODEQ",NA,2.8,"POR",NA,2600,NA,2100,"EUG",NA,9.2,NA,751,NA,6.34,NA,329,NA,2.77,NA,24.447,NA,6.87,NA,24,NA,100,NA,0.833,"E",0.0073,NA,0.0169,"<",0.002,NA,0.0277,"E",1.5,"<",0.01,NA,0.195,"37",-122.829166666667,45.2063888888889,"AGRICULTURAL",5558,60,5,21,15,"Nov",28
"76",4.51e+14,19960419,1320,NA,NA,NA,NA,NA,NA,NA,9.1,NA,0.51,NA,NA,"USGS",NA,NA,NA,NA,NA,NA,NA,NA,NA,10.86,NA,764,NA,29.2,NA,218,NA,8.43,NA,76.006,NA,6.95,NA,NA,NA,NA,NA,0.98,"E",0.043,NA,0.18,NA,0.027,NA,0.17,"E",0.59,NA,0.069,"<",0.003,"40",-123.083888888889,45.2122222222222,"AGRICULTURAL",5639,83,3,8,6,"Apr",24
"77",4.51e+14,19960514,1340,NA,0.12,NA,NA,NA,NA,NA,24,NA,0.44,NA,0.29,"ODEQ",NA,2.8,"ODEQ","E",20,"E",580,"OHD",NA,14.98,NA,756,NA,12.2,NA,386,NA,9.2,NA,92.014,NA,7.16,NA,16,NA,93,NA,0.067,"E",0.022,NA,0.9,NA,0.22,NA,0.96,NA,0.52,NA,0.047,NA,0.004,"40",-123.083888888889,45.2122222222222,"AGRICULTURAL",5639,83,3,8,6,"May",24
"78",4.51e+14,19960723,1300,NA,0.077,"E",0.019,NA,1.22,NA,22.8,NA,0.559,NA,0.383,"USA","<",2,"POR",NA,800,NA,1140,"EUG",NA,23,NA,NA,NA,0.2,NA,466,NA,7.57,NA,NA,NA,7.27,NA,22,NA,93,NA,0.023,"E",0.021,NA,0.12,NA,0.009,NA,0.22,NA,0.26,"<",0.01,"<",0.003,"40",-123.083888888889,45.2122222222222,"AGRICULTURAL",5639,83,3,8,6,"Jul",24
"79",4.51e+14,19961019,1220,"<",0.02,NA,0.019,NA,1.47,NA,13.9,NA,0.469,NA,0.369,"USA","<",2,"POR",NA,NA,NA,NA,NA,NA,10.2,NA,763,NA,8.48,NA,338,NA,9.99,NA,88.848,NA,7.7,NA,15,NA,86,NA,0.0232,"E",0.0032,NA,0.0582,"<",0.002,NA,0.0376,"<",0.02,"<",0.01,"<",0.003,"40",-123.083888888889,45.2122222222222,"AGRICULTURAL",5639,83,3,8,6,"Oct",24
"80",4.51e+14,19961117,1120,NA,1.04,NA,NA,NA,2.4,NA,12,NA,0.49,"E",0.349,"ODEQ","<",2,"POR",NA,40,NA,20,"EUG",NA,9.22,NA,749,NA,12.6,NA,306,NA,8.39,NA,74.275,NA,7.1,NA,30,NA,72,NA,0.0366,"E",0.0153,NA,0.179,"<",0.002,NA,0.122,NA,1.3,NA,0.0108,NA,0.0559,"40",-123.083888888889,45.2122222222222,"AGRICULTURAL",5639,83,3,8,6,"Nov",24
"81",4.51e+14,19960419,1050,NA,NA,NA,NA,NA,NA,NA,3.4,NA,0.21,NA,NA,"USGS",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,762,NA,11,NA,209,NA,9.51,NA,83.858,NA,7.34,NA,NA,NA,NA,NA,0.17,"E",0.036,NA,0.087,NA,0.029,NA,0.1,NA,0.91,NA,0.023,NA,0.009,"27",-122.779722222222,45.2313888888889,"AGRICULTURAL",3819,70,11,11,8,"Apr",26
"82",4.51e+14,19960514,1530,NA,0.09,NA,NA,NA,NA,NA,2.4,NA,0.42,NA,0.188,"ODEQ",NA,2,"ODEQ",">",1600,">",1600,"OHD",NA,14.7,NA,NA,NA,9.15,NA,216,NA,8.23,NA,80.7,NA,7.67,NA,39,NA,95,NA,0.23,"E",0.025,NA,0.067,NA,0.018,NA,0.12,"E",0.67,NA,0.2,NA,0.009,"27",-122.779722222222,45.2313888888889,"AGRICULTURAL",3819,70,11,11,8,"May",26
"83",4.51e+14,19960722,1240,"<",0.02,"<",0.005,NA,0.44,NA,1.81,NA,0.338,NA,0.25,"USA","<",2,"POR",NA,275,NA,390,"EUG",NA,17.17,NA,763,NA,1.34,NA,271,NA,7.316,NA,75.916,NA,7.37,NA,13,NA,84,NA,0.32,"E",0.004,NA,0.022,"<",0.002,NA,0.03,NA,0.26,NA,0.017,NA,0.006,"27",-122.779722222222,45.2313888888889,"AGRICULTURAL",3819,70,11,11,8,"Jul",26
"84",4.51e+14,19961019,1450,NA,0.062,NA,0.022,NA,0.642,NA,1.33,NA,0.534,NA,0.266,"USA","<",2,"POR",NA,NA,NA,NA,NA,NA,9.38,NA,762,NA,3.41,NA,254,NA,8.87,NA,77.451,NA,7.53,NA,19,NA,77,NA,0.468,"E",0.0051,NA,0.413,"<",0.002,NA,0.0319,"<",0.02,NA,0.0386,"<",0.003,"27",-122.779722222222,45.2313888888889,"AGRICULTURAL",3819,70,11,11,8,"Oct",26
"85",4.51e+14,19961117,1100,NA,0.06,NA,NA,NA,1.3,NA,3.6,NA,0.43,"E",0.207,"ODEQ",NA,2.5,"POR",NA,400,NA,440,"EUG",NA,9.23,NA,751,NA,16,NA,184,NA,9.13,NA,80.593,NA,6.92,NA,71,NA,97,NA,0.363,"E",0.0295,NA,1.19,"<",0.002,NA,0.252,"E",1.9,"<",0.01,"<",0.003,"27",-122.779722222222,45.2313888888889,"AGRICULTURAL",3819,70,11,11,8,"Nov",26
"86",4.52e+14,19960419,1210,NA,NA,NA,NA,NA,NA,NA,1.4,NA,0.04,NA,NA,"USGS",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.08,NA,762,NA,12,NA,61,NA,10.66,NA,92.352,NA,6.67,NA,NA,NA,NA,NA,0.02,"E",0.011,"<",0.002,"<",0.002,NA,0.042,"<",0.02,"<",0.01,"<",0.003,"10",-122.87,45.3677777777778,"AGRICULTURAL",2662,40,23,13,24,"Apr",21
"87",4.52e+14,19960514,920,NA,0.03,NA,NA,NA,NA,NA,1.2,NA,0.05,NA,0.011,"ODEQ",NA,0.5,"ODEQ",NA,NA,NA,NA,"OHD",NA,12.24,NA,NA,NA,7.57,NA,75.5,NA,9.66,NA,89.7,NA,6.7,NA,17,NA,98,NA,0.012,"E",0.008,"<",0.002,"<",0.002,NA,0.018,"<",0.02,"<",0.01,"<",0.003,"10",-122.87,45.3677777777778,"AGRICULTURAL",2662,40,23,13,24,"May",21
"88",4.52e+14,19960723,1000,"E",0.027,"<",0.005,NA,0.236,NA,0.605,NA,0.121,NA,0.026,"USA","<",2,"POR",NA,200,NA,540,"EUG",NA,17.92,NA,767,NA,1.49,NA,72.8,NA,8.09,NA,84.755,NA,7.07,NA,14,NA,77,NA,0.007,"E",0.004,"<",0.002,"<",0.002,NA,0.007,"<",0.02,"<",0.01,"<",0.003,"10",-122.87,45.3677777777778,"AGRICULTURAL",2662,40,23,13,24,"Jul",21
"89",4.52e+14,19961019,1600,"<",0.02,NA,0.015,NA,0.215,NA,0.856,NA,0.075,"E",0.017,"USA","<",2,"POR",NA,NA,NA,NA,NA,NA,9.34,NA,758,NA,2.26,NA,72.1,NA,10.3,NA,90.273,NA,6.97,NA,14,NA,80,NA,0.0068,"E",0.0027,"E",0.0037,"<",0.002,NA,0.0061,"<",0.02,"<",0.01,"<",0.003,"10",-122.87,45.3677777777778,"AGRICULTURAL",2662,40,23,13,24,"Oct",21
"90",4.52e+14,19961118,1130,NA,0.04,NA,NA,NA,0.3,NA,1.3,NA,0.06,NA,0.017,"ODEQ",NA,NA,"POR",NA,160,NA,90,"EUG",NA,8.16,NA,751,NA,6.28,NA,69,NA,11.26,NA,96.82,NA,6.83,NA,14,NA,95,"E",0.0048,"E",0.0045,"E",0.0018,"<",0.002,NA,0.0085,"<",0.02,"<",0.01,"<",0.003,"10",-122.87,45.3677777777778,"AGRICULTURAL",2662,40,23,13,24,"Nov",21
"91",4.53e+14,19960419,1620,NA,NA,NA,NA,NA,NA,NA,0.31,NA,0.11,NA,NA,"USGS",NA,NA,NA,NA,NA,NA,NA,NA,NA,11.34,NA,762,NA,46.2,NA,122,NA,8.7,NA,79.501,NA,6.86,NA,NA,NA,NA,NA,1,"E",0.006,NA,0.005,NA,0.088,NA,0.032,"E",0.08,NA,0.063,"<",0.003,"U2",-122.836666666667,45.4855555555556,"URBAN",8326,5,2,93,0,"Apr",NA
"92",4.53e+14,19960514,1750,NA,0.04,NA,NA,NA,NA,NA,0.35,NA,0.15,NA,0.052,"ODEQ",NA,2,"ODEQ","E",980,"E",1240,"OHD",NA,17.05,NA,NA,NA,52,NA,NA,NA,6.82,NA,70,NA,6.85,NA,12,NA,96,NA,0.22,"E",0.007,NA,0.005,NA,0.31,NA,0.077,"E",1.5,NA,0.071,"<",0.003,"U2",-122.836666666667,45.4855555555556,"URBAN",8326,5,2,93,0,"May",NA
"93",4.53e+14,19960725,840,NA,0.075,"<",0.005,NA,0.776,NA,0.035,NA,0.395,NA,0.074,"USA","<",10,"POR",NA,100,NA,270,"EUG",NA,22.82,NA,764,"E",1,NA,231,NA,4.02,NA,46.632,NA,6.91,NA,12,NA,89,NA,0.035,"<",0.002,NA,0.005,"<",0.002,NA,0.014,NA,0.06,NA,0.016,"<",0.003,"U2",-122.836666666667,45.4855555555556,"URBAN",8326,5,2,93,0,"Jul",NA
"94",4.53e+14,19961014,1600,NA,0.059,"E",0.005,NA,0.498,NA,0.148,NA,0.159,NA,0.048,"USA",NA,2,"POR",NA,1700,NA,2500,"EUG",NA,13.5,NA,NA,NA,NA,NA,119,NA,6.22,NA,NA,NA,6.78,NA,10,NA,73,NA,0.0389,"<",0.002,NA,0.0311,NA,0.0313,"<",0.01,"<",0.02,"<",0.055,"<",0.003,"U2",-122.836666666667,45.4855555555556,"URBAN",8326,5,2,93,0,"Oct",NA
"95",4.53e+14,19961106,1540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,"POR",NA,NA,NA,NA,NA,NA,11.27,NA,761,NA,15.8,NA,168,NA,7.9,NA,72.182,NA,7.09,NA,66,NA,75,NA,0.0188,"E",0.0066,NA,0.0113,NA,0.0282,NA,0.0214,NA,0.07,NA,0.0427,"<",0.003,"U2",-122.836666666667,45.4855555555556,"URBAN",8326,5,2,93,0,"Nov",NA
